,index,Compound Score,Negative Score,Neutral Score,Postive Score,Tweet Time,Tweets Ago,Username,converted_time,date,days_ago
0,0,-0.7003,0.29,0.621,0.09,Tue Apr 10 20:40:04 +0000 2018,1,@nytimes,2018-04-10 20:40:04+00:00,2018-04-10,0
1,1,-0.0772,0.071,0.929,0.0,Tue Apr 10 20:19:44 +0000 2018,2,@nytimes,2018-04-10 20:19:44+00:00,2018-04-10,0
2,2,0.4404,0.0,0.868,0.132,Tue Apr 10 20:17:07 +0000 2018,3,@nytimes,2018-04-10 20:17:07+00:00,2018-04-10,0
3,3,-0.3182,0.148,0.759,0.093,Tue Apr 10 20:10:07 +0000 2018,4,@nytimes,2018-04-10 20:10:07+00:00,2018-04-10,0
4,4,0.0,0.0,1.0,0.0,Tue Apr 10 20:03:41 +0000 2018,5,@nytimes,2018-04-10 20:03:41+00:00,2018-04-10,0
5,5,-0.1779,0.166,0.655,0.179,Tue Apr 10 19:55:03 +0000 2018,6,@nytimes,2018-04-10 19:55:03+00:00,2018-04-10,0
6,6,-0.6705,0.244,0.756,0.0,Tue Apr 10 19:45:50 +0000 2018,7,@nytimes,2018-04-10 19:45:50+00:00,2018-04-10,0
7,7,0.0,0.0,1.0,0.0,Tue Apr 10 19:40:09 +0000 2018,8,@nytimes,2018-04-10 19:40:09+00:00,2018-04-10,0
8,8,0.0,0.0,1.0,0.0,Tue Apr 10 19:30:10 +0000 2018,9,@nytimes,2018-04-10 19:30:10+00:00,2018-04-10,0
9,9,0.4404,0.0,0.822,0.178,Tue Apr 10 19:25:48 +0000 2018,10,@nytimes,2018-04-10 19:25:48+00:00,2018-04-10,0
10,10,0.5267,0.0,0.866,0.134,Tue Apr 10 19:18:09 +0000 2018,11,@nytimes,2018-04-10 19:18:09+00:00,2018-04-10,0
11,11,0.1027,0.149,0.685,0.165,Tue Apr 10 19:15:01 +0000 2018,12,@nytimes,2018-04-10 19:15:01+00:00,2018-04-10,0
12,12,0.0,0.0,1.0,0.0,Tue Apr 10 19:06:24 +0000 2018,13,@nytimes,2018-04-10 19:06:24+00:00,2018-04-10,0
13,13,0.0,0.0,1.0,0.0,Tue Apr 10 19:01:41 +0000 2018,14,@nytimes,2018-04-10 19:01:41+00:00,2018-04-10,0
14,14,-0.7003,0.244,0.756,0.0,Tue Apr 10 18:55:05 +0000 2018,15,@nytimes,2018-04-10 18:55:05+00:00,2018-04-10,0
15,15,-0.1419,0.069,0.931,0.0,Tue Apr 10 18:45:07 +0000 2018,16,@nytimes,2018-04-10 18:45:07+00:00,2018-04-10,0
